,symbol,start,end
76,NSE:PVRINOX-FUT,2023-05-12 03:45:00,2025-01-10 09:59:00
121,NSE:UNITDSPR-FUT,2024-06-07 03:45:00,2025-01-10 09:59:00
143,NSE:LTF-FUT,2024-04-23 03:45:00,2025-01-10 09:59:00
